Year,Group I,Group II,Group III,Total
1993,12,6,2,20
1994,15,3,0,18
1995,17,10,2,29
1996,13,48,11,72
1997,12,52,7,71
1998,9,13,12,34
1999,10,21,25,56
2000,22,23,34,79
2001,6,25,31,62
2002,14,24,20,58
2003,12,31,41,84
2004,17,32,84,133
2005,19,49,101,169
2006,21,116,122,259
2007,22,46,205,273
2008,21,35,138,194
2009,5,58,149,212
2010,13,31,165,209
2011,9,28,103,140
2012,12,21,129,162
2013,1,42,102,145
2014,17,39,129,185
2015,2,46,176,224
2016,9,46,133,188
2017,5,13,148,166
2018,7,46,200,253
2019,8,62,119,189
2020,2,23,100,125
2021,7,24,89,120
2022,5,22,119,146
2023,6,9,153,168
2024,3,21,123,147
2025,6,55,175,236
